time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup,semf
122364,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,6g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
122459,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,4g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
120756,0,4756880,357,trajectory.milan_standard,100,12,124,1000000,1,6000000,10,2,2g,DailyScale,4,Infinity,16,Infinity,4607230,296912796,0.0,0.0,0.0,
14083,0,988532,89,trajectory.oldenburg_standard,500,12,42,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,Infinity,15973,461055,0.0,0.0,0.0,
11810,7606,988532,89,trajectory.oldenburg_standard,500,12,12,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,5.0,15943,460940,0.0,0.0,0.0,
8978865,784370,24372576,1791,trajectory.oldenburg_standard,500,12,19361,1000000,1,1000000,10,2,8g,AbsoluteScale,6,6.0,19,Infinity,2565749,2355212340,0.0,0.0,0.0,
1811463,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
2622915,0,24488256,1876,trajectory.oldenburg_standard,400,12,133393,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,3947913,3732398990,0.0,0.0,0.0,
3677885,0,24612122,2003,trajectory.oldenburg_standard,300,12,318498,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,6678325,6619324216,0.0,0.0,0.0,
5955195,0,24711942,2131,trajectory.oldenburg_standard,200,12,922847,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,13269151,13412846304,0.0,0.0,0.0,
15759803,0,24805460,2342,trajectory.oldenburg_standard,100,12,7723796,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,43023189,44997432339,0.0,0.0,0.0,
1648550,0,26324034,1809,trajectory.oldenburg_standard,500,10,234479,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2605249,2395846523,0.0,0.0,0.0,
1802599,0,27886858,1821,trajectory.oldenburg_standard,500,8,703262,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2617138,2408018792,0.0,0.0,0.0,
2214831,0,29069370,1825,trajectory.oldenburg_standard,500,6,1831472,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2901480,2670217666,0.0,0.0,0.0,
1876049,0,24673516,1838,trajectory.oldenburg_standard,500,12,78226,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,18,Infinity,3023484,2455202297,0.0,0.0,0.0,
