time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns
27529,0,427292,60,trajectory.milan_standard,100,14,75722,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,4824845
209764,0,3723772,358,trajectory.milan_standard,100,14,5,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,15579827
37778,0,654798,119,trajectory.milan_standard,100,14,24299,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,6867900
16075,0,292656,59,trajectory.milan_standard,100,18,4,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,1906827
131356,0,1758262,355,trajectory.milan_standard,100,18,0,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,13544644
20880,0,382816,116,trajectory.milan_standard,100,18,0,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,2999856
22565,0,376458,60,trajectory.milan_standard,100,16,1878,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,2748764
167813,0,2726892,357,trajectory.milan_standard,100,16,0,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,14628260
35146,0,517738,119,trajectory.milan_standard,100,16,388,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,4924277
9299,0,104758,59,trajectory.milan_standard,100,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,319004
94871,0,1261588,346,trajectory.milan_standard,100,22,0,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,10424547
12019,0,156740,107,trajectory.milan_standard,100,22,0,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,822725
13042,0,190728,59,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,1096890
116140,0,1499370,352,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,12125812
16853,0,255798,109,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,1595081
111614,0,907732,60,trajectory.milan_standard,100,10,8027709,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,15558870
338388,0,8201778,360,trajectory.milan_standard,100,10,365564,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,16736238
92293,0,1548320,120,trajectory.milan_standard,100,10,3868143,1000000,1,1000000,10,2,8g,WeeklyScale,6,Infinity,16,Infinity,10902498
286475,0,2900710,67632,trajectory.milan_standard,10,16,0,1000000,1,1000000,10,2,8g,AbsoluteScale,2,1.0,16,Infinity,67621
4916883,1450440,25976124,462439,trajectory.milan_standard,10,10,0,1000000,1,1000000,10,2,8g,AbsoluteScale,2,1.0,16,Infinity,462430
13639700,8996950,41622624,684997,trajectory.milan_standard,10,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,2,1.0,18,Infinity,684986
291735,0,2900710,67632,trajectory.milan_standard,10,16,0,1000000,1,1000000,10,2,8g,AbsoluteScale,2,1.0,16,Infinity,67621
7849,0,104758,59,trajectory.milan_standard,100,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,319004
30267,0,376458,60,trajectory.milan_standard,100,16,1878,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,2748764
15630,0,292656,59,trajectory.milan_standard,100,18,4,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,1906827
13156,0,190728,59,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,1096890
22865,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
22658,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
19084,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
18942,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
17350,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
18695,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
20411,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
26766,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
19542,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
17764,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
19375,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
18632,0,318714,44,trajectory.milan_standard,100,12,10386,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,741896
42243,0,460276,60,trajectory.milan_standard,100,12,898090,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,8443833
15901,1084,318714,44,trajectory.milan_standard,100,12,7206,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,1.0,656537
18696,1084,318714,44,trajectory.milan_standard,100,12,7206,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,1.0,656537
18879,1084,318714,44,trajectory.milan_standard,100,12,7206,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,1.0,656537
31425,1496,460276,60,trajectory.milan_standard,100,12,304688,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,1.0,6561063
20897,1496,376458,60,trajectory.milan_standard,100,16,1622,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,1.0,2502888
12425,1466,292656,59,trajectory.milan_standard,100,18,4,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,1.0,1584175
9629,1466,190728,59,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,1.0,831813
6862,1466,104758,59,trajectory.milan_standard,100,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,1.0,257211
9899,0,104758,59,trajectory.milan_standard,90,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,419993
8094,0,104758,59,trajectory.milan_standard,80,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,566557
9433,0,104758,59,trajectory.milan_standard,70,22,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,785105
12825,0,190728,59,trajectory.milan_standard,100,20,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,1096890
55179,0,460276,60,trajectory.milan_standard,90,12,1498895,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,10597609
72831,0,460276,60,trajectory.milan_standard,80,12,3116608,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,14294376
85577,0,460276,60,trajectory.milan_standard,70,12,4365559,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,18404082
324338,0,5576058,360,trajectory.milan_standard,90,12,14849,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,21461667
423235,0,5576056,360,trajectory.milan_standard,80,12,34772,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,29201092
552011,0,5576058,360,trajectory.milan_standard,70,12,86196,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,41509468
321512,0,8201778,360,trajectory.milan_standard,100,10,365564,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,16736238
540465,0,13037650,360,trajectory.milan_standard,100,8,7395187,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,20573589
542745,0,16024022,360,trajectory.milan_standard,100,6,10903123,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,16,Infinity,14486485
873377,0,7501526,557,trajectory.milan_standard,100,12,28410,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,14,Infinity,36011482
1481744,0,10427342,697,trajectory.milan_standard,100,12,37787,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,12,Infinity,44352079
2609525,0,14103674,890,trajectory.milan_standard,100,12,163546,1000000,1,1000000,10,2,8g,DailyScale,4,Infinity,10,Infinity,63216965
2057757,0,5576056,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,1,2,8g,DailyScale,4,Infinity,16,Infinity,16324201
