dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,5,5,9166,1784,2852, 11231,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,9165,1784,3541, 11731,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,8910,1785,3025, 14179,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,8864,1785,3542, 15368,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,8861,1785,3017, 14745,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,8909,1785,3167, 14837,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,5,8863,1785,1604, 9911,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,5,8860,1785,1919, 10335,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,5,5307,3547,2355, 16373,50,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,5,12417,6893,4796, 21683,50,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,5,12682,6937,3453, 16751,50,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,5,12677,6937,3972, 18788,50,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,5,16697,7260,7046, 10047,100,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,5,59607,37088,7572, 9878,100,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,5,456074,301488,8839, 11220,100,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,5,16901,7262,8651, 21929,100,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,5,59948,37092,7406, 25216,100,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,5,453186,301500,10684, 33476,100,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,5,16901,7262,8895, 28462,100,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,5,59948,37092,8425, 25297,100,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,5,453185,301500,9513, 27464,100,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,5,16901,7262,9247, 24620,100,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,5,59948,37092,9321, 26011,100,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,5,453185,301500,9196, 27396,100,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,5,2959,744,2551, 4811,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,5,2957,744,2109, 4140,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,5,2957,744,1578, 3317,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,5,2831,758,2191, 10041,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,5,2731,758,2761, 10430,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,5,2730,758,1738, 10257,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,5,2830,758,2012, 9483,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,5,2730,758,2467, 11204,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,5,2729,758,2350, 13211,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,5,2830,758,2304, 12567,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,5,2730,758,2577, 12088,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,5,2729,758,2178, 9564,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,5,666,283,1436, 3958,100,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,5,824,323,1592, 9132,100,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,5,820,323,2231, 9663,100,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,5,820,323,987, 8873,100,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,10,65082,3528,14859, 16596,10,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,10,76720,3856,15936, 17355,10,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,10,148562,7218,24466, 26172,10,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,10,83691,5831,16719, 35306,10,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,10,98298,6518,18880, 37644,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,10,179485,11933,26307, 44322,10,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,10,94649,7584,17586, 33397,10,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,10,110619,8241,18842, 34809,10,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,10,194881,13795,29915, 49828,10,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,10,97011,8022,22384, 39556,10,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,10,113011,8681,24004, 39938,10,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,10,191584,14258,12355, 28204,10,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,10,63723,7130,14134, 16219,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,10,63717,7130,14380, 16411,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,10,63717,7130,14645, 16484,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,10,142802,15331,12705, 34895,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,10,142782,15331,12880, 30983,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,10,142782,15331,13265, 29780,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,10,185345,19460,13448, 30343,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,10,185306,19460,12916, 30170,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,10,185306,19460,14625, 31324,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,10,184927,20684,17121, 35161,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,10,184624,20684,20742, 37374,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,10,184622,20684,10444, 26389,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,10,122595,37408,17192, 49429,10,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,10,712940,195874,16350, 43816,10,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,10,1139538,284220,23494, 53967,10,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,10,1168116,309952,16411, 39168,10,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
geolife,0.0,5,10,10476,76,3865, 6330,50,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,10,21920,806,5850, 7477,50,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,10,128045,7338,8355, 10819,50,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,10,11516,76,3423, 6730,50,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,10,23602,806,7215, 16109,50,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,10,119516,7338,8955, 23657,50,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,10,11519,76,3693, 8040,50,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,10,23616,806,6394, 17626,50,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,10,104235,7338,8001, 22136,50,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,10,11519,76,4443, 8081,50,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,1663
geolife,0.0,5,10,23616,806,6328, 15672,50,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,1663
geolife,0.0,5,10,104235,7338,7782, 22204,50,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,1663
geolife,0.0,5,10,2838,0,1170, 2804,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,10,2838,0,1429, 3129,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,10,2838,0,2507, 4113,50,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,10,3346,0,1340, 2967,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
